Concrete_class,Rbn,Rbtn,Rb,Rbt,Eb,eps_b0_st,eps_b0_lt_to45,eps_b0_lt_40to75,eps_b0_lt_75up,eps_b2_lt_to45,eps_b2_lt_40to75,eps_b2_lt_75up,eps_b1red_lt_to45,eps_b1red_lt_40to75,eps_b1red_lt_75up,eps_bt0_st,eps_bt0_lt_to45,eps_bt0_lt_40to75,eps_bt0_lt_75up,eps_bt2_lt_to45,eps_bt2_lt_40to75,eps_bt2_lt_75up,eps_bt1red_lt_to45,eps_bt1red_lt_40to75,eps_bt1red_lt_75up,eps_b2_st,eps_b1red_st,eps_bt2_st,eps_bt1red_st
"B3,5",2.7,0.39,2.1,0.26,9500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B5,3.5,0.55,2.7,0.37,13000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
"B7,5",5.5,0.7,4.2,0.48,16000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B10,7.5,0.85,5.8,0.56,19000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
"B12,5",9.5,1,7.3,0.66,21500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B15,11,1.1,8.5,0.75,24000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B20,15,1.35,11.5,0.9,27500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B25,18.5,1.55,14.2,1.05,30000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B30,22,1.75,16.9,1.15,32500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B35,25.5,1.95,19.6,1.3,34500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B40,29,2.1,22.3,1.4,36000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B45,32,2.25,24.6,1.5,37000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B50,36,2.45,27.7,1.6,38000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B55,39.5,2.6,30.4,1.7,39000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B60,43,2.75,33.1,1.8,39500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0035,0.0015,0.00015,0.00008
B70,50,3,37,1.9,41000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0033,0.0015,0.00015,0.00008
B80,57,3.3,41,2.1,42000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.00313,0.0015,0.00015,0.00008
B90,64,3.6,44,2.15,42500,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.00297,0.0015,0.00015,0.00008
B100,71,3.8,47.5,2.2,43000,0.002,0.003,0.0034,0.004,0.0042,0.0048,0.0056,0.0024,0.0028,0.0034,0.0001,0.00021,0.00024,0.00028,0.00027,0.00031,0.00036,0.00019,0.00022,0.00026,0.0028,0.0015,0.00015,0.00008
